Chromosome	Region	Coverage	Expected Coverage	Corrected Coverage	Sampleid
Pf3D7_01_v3	177187-181825	54.00	143.38	0.38	10143-GH-D35_S9
Pf3D7_03_v3	221112-223145	26709.00	1686.79	15.83	10143-GH-D35_S9
Pf3D7_04_v3	747897-750065	154.00	436.88	0.35	10143-GH-D35_S9
Pf3D7_05_v3	955955-963095	1547.00	879.29	1.76	10143-GH-D35_S9
Pf3D7_08_v3	547896-551057	1492.00	958.42	1.56	10143-GH-D35_S9
Pf3D7_11_v3	1292966-1296696	44.00	132.51	0.33	10143-GH-D35_S9
Pf3D7_13_v3	1724600-1727877	4746.00	2569.07	1.85	10143-GH-D35_S9
Pf3D7_MIT_v3	3492-4622	16142.00	1450.93	11.13	10143-GH-D35_S9
Pf3D7_01_v3	177187-181825	544.00	468.50	1.16	10136-GH-D28_S4
Pf3D7_03_v3	221112-223145	14786.00	1130.27	13.08	10136-GH-D28_S4
Pf3D7_04_v3	747897-750065	277.00	1224.13	0.23	10136-GH-D28_S4
Pf3D7_05_v3	955955-963095	3801.00	3452.27	1.10	10136-GH-D28_S4
Pf3D7_08_v3	547896-551057	8455.00	3524.25	2.40	10136-GH-D28_S4
Pf3D7_11_v3	1292966-1296696	210.00	888.87	0.24	10136-GH-D28_S4
Pf3D7_13_v3	1724600-1727877	19160.00	5639.14	3.40	10136-GH-D28_S4
Pf3D7_MIT_v3	3492-4622	20631.00	2388.29	8.64	10136-GH-D28_S4
Pf3D7_01_v3	177187-181825	59790.00	647127.05	0.09	10304-GH-D28_S26
Pf3D7_03_v3	221112-223145	1079238.00	643565.48	1.68	10304-GH-D28_S26
Pf3D7_04_v3	747897-750065	1471953.00	823753.18	1.79	10304-GH-D28_S26
Pf3D7_05_v3	955955-963095	2460533.00	1031444.74	2.39	10304-GH-D28_S26
Pf3D7_07_v3	402385-406341	302915.00	306001.43	0.99	10304-GH-D28_S26
Pf3D7_08_v3	547896-551057	2596948.00	971793.89	2.67	10304-GH-D28_S26
Pf3D7_11_v3	1292966-1296696	514046.00	1312873.00	0.39	10304-GH-D28_S26
Pf3D7_13_v3	1724600-1727877	3270680.00	3343247.03	0.98	10304-GH-D28_S26
Pf3D7_MIT_v3	3492-4622	2905677.00	2491769.20	1.17	10304-GH-D28_S26
Pf3D7_01_v3	177187-181825	129911.00	637652.74	0.20	S1544-GH_S16
Pf3D7_03_v3	221112-223145	1350413.00	656139.66	2.06	S1544-GH_S16
Pf3D7_04_v3	747897-750065	1063340.00	778666.48	1.37	S1544-GH_S16
Pf3D7_05_v3	955955-963095	1994257.00	965653.19	2.07	S1544-GH_S16
Pf3D7_07_v3	402385-406341	279516.00	301991.22	0.93	S1544-GH_S16
Pf3D7_08_v3	547896-551057	3083347.00	943628.82	3.27	S1544-GH_S16
Pf3D7_11_v3	1292966-1296696	818320.00	1337218.56	0.61	S1544-GH_S16
Pf3D7_13_v3	1724600-1727877	3216263.00	3513834.23	0.92	S1544-GH_S16
Pf3D7_MIT_v3	3492-4622	2080179.00	2442887.69	0.85	S1544-GH_S16
Pf3D7_01_v3	177187-181825	128569.00	841674.57	0.15	S1453-GH_S12
Pf3D7_03_v3	221112-223145	1001057.00	702355.23	1.43	S1453-GH_S12
Pf3D7_04_v3	747897-750065	1060564.00	1000431.06	1.06	S1453-GH_S12
Pf3D7_05_v3	955955-963095	2182965.00	1301071.24	1.68	S1453-GH_S12
